# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /Users/seanreed1/.cmdstanpy/cmdstan-2.22.1/examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 50844
# output
#   file = /Users/seanreed1/BAYESIAN-REPOS/MY-RAOS-LECTURE/bernoulli-202010021107-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.97436
# Diagonal elements of inverse mass matrix:
# 0.527766
-6.75593,1,0.97436,1,3,0,6.88149,0.234504
-6.86584,0.982401,0.97436,2,3,0,6.89376,0.313678
-6.78741,0.987059,0.97436,1,3,0,6.9501,0.216056
-7.16673,0.928175,0.97436,1,3,0,7.18969,0.148664
-8.00828,0.884997,0.97436,1,3,0,8.01213,0.092808
-9.26843,0.872735,0.97436,1,1,0,9.26843,0.0537294
-7.74821,0.985789,0.97436,2,3,0,9.77626,0.105627
-8.27733,0.933729,0.97436,1,1,0,8.32748,0.0818434
-8.27733,0.759327,0.97436,1,3,0,12.6189,0.0818434
-6.87738,1,0.97436,1,3,0,8.19459,0.19028
-6.7613,0.98996,0.97436,1,3,0,6.91695,0.270727
-7.09759,0.920239,0.97436,1,3,0,7.10541,0.362771
-7.29642,0.768507,0.97436,1,3,0,8.17949,0.13639
-7.16338,1,0.97436,1,1,0,7.32856,0.149014
-6.76381,0.925139,0.97436,2,3,0,7.75382,0.272636
-6.82376,0.992732,0.97436,2,3,0,6.82501,0.203575
-6.83562,0.982442,0.97436,2,3,0,6.99584,0.200263
-6.97525,0.987065,0.97436,2,3,0,6.97551,0.339831
-6.77797,1,0.97436,1,3,0,6.91303,0.281393
